seq,timestamp_ns,msg_type,stock_locate,tracking_number,stock,order_ref,new_order_ref,side,shares,price,match_number,printable,attribution
0,34200000000000,A,5,0,AMZN,13,,S,100,1750400,,,
1,34200000100000,F,3,0,NVDA,11,,S,500,1202000,,,ARCA
2,34200000200000,A,3,0,NVDA,19,,S,1900,1201700,,,
3,34200000300000,A,4,0,TSLA,12,,S,100,2500300,,,
4,34200000400000,A,5,0,AMZN,21,,S,100,1750500,,,
5,34200000500000,A,6,0,SPY,14,,S,100,5000500,,,
6,34200000600000,A,4,0,TSLA,20,,B,1700,2499500,,,
7,34200000700000,A,5,0,AMZN,29,,S,100,1750600,,,
8,34200000800000,A,6,0,SPY,22,,B,100,4999600,,,
9,34200000900000,A,8,0,F,16,,S,500,120400,,,
10,34200001000000,A,1,0,AAPL,9,,B,100,1498400,,,
11,34200001100000,A,6,0,SPY,30,,B,400,4999600,,,
12,34200001200000,A,8,0,F,24,,B,500,118500,,,
13,34200001300000,A,5,0,AMZN,37,,B,100,1748800,,,
14,34200001400000,A,8,0,F,32,,B,100,118200,,,
15,34200001500000,A,6,0,SPY,38,,S,1200,5000400,,,
16,34200001600000,A,6,0,SPY,46,,S,100,5000400,,,
17,34200001700000,A,4,0,TSLA,28,,S,500,2501600,,,
18,34200001800000,A,4,0,TSLA,36,,S,1500,2500500,,,
19,34200001900000,A,7,0,GME,15,,B,400,247400,,,
20,34200002000000,A,7,0,GME,23,,S,100,250400,,,
21,34200002100000,A,6,0,SPY,54,,S,79,5000400,,,
22,34200002200000,A,2,0,MSFT,10,,B,100,3798800,,,
23,34200002300000,A,4,0,TSLA,44,,B,100,2499500,,,
24,34200002400000,A,2,0,MSFT,18,,S,200,3801100,,,
25,34200002500000,A,6,0,SPY,62,,B,100,4999600,,,
26,34200002600000,A,6,0,SPY,70,,S,100,5001800,,,
27,34200002700000,A,3,0,NVDA,27,,S,100,1200500,,,
28,34200002800000,A,6,0,SPY,78,,S,1800,5000400,,,
29,34200002900000,A,1,0,AAPL,17,,B,700,1499300,,,
30,34200003000000,A,4,0,TSLA,52,,S,500,2501200,,,
31,34200003100000,A,5,0,AMZN,45,,S,100,1750700,,,
32,34200003200000,A,7,0,GME,31,,B,100,247700,,,
33,34200003300000,A,4,0,TSLA,60,,B,100,2499500,,,
34,34200003400000,A,6,0,SPY,86,,S,100,5000400,,,
35,34200003500000,F,5,0,AMZN,53,,B,100,1748900,,,ARCA
36,34200003600000,A,2,0,MSFT,26,,B,100,3798400,,,
37,34200003700000,A,8,0,F,40,,B,100,117900,,,
38,34200003800000,F,4,0,TSLA,68,,S,400,2500300,,,BATS
39,34200003900000,U,4,0,,44,76,,100,2499500,,,
40,34200004000000,U,4,0,,60,84,,100,2499400,,,
41,34200004100000,F,3,0,NVDA,35,,B,100,1199700,,,ARCA
42,34200004200000,A,8,0,F,48,,B,200,119000,,,
43,34200004300000,A,3,0,NVDA,43,,S,300,1202000,,,
44,34200004400000,A,3,0,NVDA,51,,S,400,1200600,,,
45,34200004500000,D,6,0,,78,,,,,,,
46,34200004600000,A,3,0,NVDA,59,,B,100,1199700,,,
47,34200004700000,F,1,0,AAPL,25,,B,100,1498300,,,EDGX
48,34200004800000,A,7,0,GME,39,,B,100,249300,,,
49,34200004900000,A,2,0,MSFT,34,,S,100,3800400,,,
50,34200005000000,A,3,0,NVDA,67,,B,400,1199000,,,
51,34200005100000,E,4,0,,12,,,100,,1,,
